person,personLabel,article
http://www.wikidata.org/entity/Q45747,विश्वनाथन् आनंद,https://en.wikipedia.org/wiki/Viswanathan_Anand
http://www.wikidata.org/entity/Q10233,वी वी एस लक्ष्मण,https://en.wikipedia.org/wiki/VVS_Laxman
http://www.wikidata.org/entity/Q132147,सानिया मिर्ज़ा,https://en.wikipedia.org/wiki/Sania_Mirza
http://www.wikidata.org/entity/Q9475,हरभजन सिंह,https://en.wikipedia.org/wiki/Harbhajan_Singh
http://www.wikidata.org/entity/Q9488,सचिन तेंदुलकर,https://en.wikipedia.org/wiki/Sachin_Tendulkar
http://www.wikidata.org/entity/Q3519997,अरुण लाल,https://en.wikipedia.org/wiki/Arun_Lal
http://www.wikidata.org/entity/Q3520013,अजीत आगरकर,https://en.wikipedia.org/wiki/Ajit_Agarkar
http://www.wikidata.org/entity/Q3520036,दत्ता गायकवाड़,https://en.wikipedia.org/wiki/Datta_Gaekwad
http://www.wikidata.org/entity/Q3520045,रोहित शर्मा,https://en.wikipedia.org/wiki/Rohit_Sharma
http://www.wikidata.org/entity/Q3520064,वीनू हिम्मतलाल मन्कद,https://en.wikipedia.org/wiki/Vinoo_Mankad
