person,personLabel
http://www.wikidata.org/entity/Q3519997,अरुण लाल
http://www.wikidata.org/entity/Q3520013,अजीत आगरकर
http://www.wikidata.org/entity/Q3520036,दत्ता गायकवाड़
http://www.wikidata.org/entity/Q3520045,रोहित शर्मा
http://www.wikidata.org/entity/Q3520064,वीनू हिम्मतलाल मन्कद
http://www.wikidata.org/entity/Q3520276,शान्ताकुमारन श्रीसंत
http://www.wikidata.org/entity/Q3520336,टीनू योहनन
http://www.wikidata.org/entity/Q3520372,नाना जोशी
http://www.wikidata.org/entity/Q3520376,हेमंत कानीटकर
http://www.wikidata.org/entity/Q3520385,गुलाबराय रामचंद
http://www.wikidata.org/entity/Q3520390,बृजेश पटेल
http://www.wikidata.org/entity/Q3520403,अंबाती रायडू
http://www.wikidata.org/entity/Q9475,हरभजन सिंह
http://www.wikidata.org/entity/Q9488,सचिन तेंदुलकर
http://www.wikidata.org/entity/Q10233,वी वी एस लक्ष्मण
http://www.wikidata.org/entity/Q45747,विश्वनाथन् आनंद
http://www.wikidata.org/entity/Q3520510,अशोक मांकड़
http://www.wikidata.org/entity/Q3520524,मनप्रीत गोनी
http://www.wikidata.org/entity/Q3520560,अबे कुरुविला
http://www.wikidata.org/entity/Q3520597,मुरली कार्तिक
http://www.wikidata.org/entity/Q1916767,मीना शाह
http://www.wikidata.org/entity/Q3520605,जोगिंदर शर्मा
http://www.wikidata.org/entity/Q3520628,वेणुगोपाल राव
http://www.wikidata.org/entity/Q3520722,अमित मिश्रा
http://www.wikidata.org/entity/Q3520728,वासिम जाफर
http://www.wikidata.org/entity/Q1813284,कुंवर दिग्विजय सिंह
http://www.wikidata.org/entity/Q2745297,रॉबिन उथप्पा
http://www.wikidata.org/entity/Q2754583,सौरव घोषाल
http://www.wikidata.org/entity/Q2756943,चेतन चौहान
http://www.wikidata.org/entity/Q2756945,चेतन शर्मा
http://www.wikidata.org/entity/Q1869101,अनिर्बन लाहिड़ी
http://www.wikidata.org/entity/Q1898291,पंकज आडवाणी
http://www.wikidata.org/entity/Q1824834,योगेश्वर दत्त
http://www.wikidata.org/entity/Q1827521,बोम्बायला देवी लैशराम
http://www.wikidata.org/entity/Q2757591,जवागल श्रीनाथ
http://www.wikidata.org/entity/Q2760800,दिलीप वेंगसरकर
http://www.wikidata.org/entity/Q2766741,भरत रेड्डी
http://www.wikidata.org/entity/Q2766870,बी॰ एस॰ चंद्रशेखर
http://www.wikidata.org/entity/Q2723712,कर्षण घावरी
http://www.wikidata.org/entity/Q2723790,युवराज सिंह
http://www.wikidata.org/entity/Q2723815,पार्थिव पटेल
http://www.wikidata.org/entity/Q2723880,विनोद काम्बली
http://www.wikidata.org/entity/Q931648,केशव दत्त
http://www.wikidata.org/entity/Q172905,करुण चंडोक
http://www.wikidata.org/entity/Q176002,द्रोणवल्ली हारिका
http://www.wikidata.org/entity/Q182917,बालू गुप्ते
http://www.wikidata.org/entity/Q3520421,विजियांग्राम के महाराजकुमार
http://www.wikidata.org/entity/Q3520439,गगन खोदा
http://www.wikidata.org/entity/Q3520463,विक्रम राठौड़
http://www.wikidata.org/entity/Q3520476,मिथाली राज
http://www.wikidata.org/entity/Q3520482,लालचंद राजपूत
http://www.wikidata.org/entity/Q2724220,सुनील वालसन
http://www.wikidata.org/entity/Q2725984,सैयद किरमानी
http://www.wikidata.org/entity/Q2728260,कीर्ति आज़ाद
http://www.wikidata.org/entity/Q2731944,गुंडप्पा विश्वनाथ
http://www.wikidata.org/entity/Q132147,सानिया मिर्ज़ा
http://www.wikidata.org/entity/Q2849991,अनिल कुंबले
http://www.wikidata.org/entity/Q982820,रमेश कृष्णन
http://www.wikidata.org/entity/Q3520815,योगराज सिंह
http://www.wikidata.org/entity/Q3520848,चंदू बोर्डे
http://www.wikidata.org/entity/Q3520910,रॉबिन सिंह
